Reason_Theme,CiteKey,ID,Algo_Theme,DecisionTheme,Man_Theme,Match,Title,Year,PublicationTitle,Creators,Publisher,AffiliationCountry,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,Num_Factors,F1,F2,F3,F4,F5,F6,F7,F8,F9,F1_THEME,F2_THEME,F3_THEME,F4_THEME,F5_THEME,F6_THEME,F7_THEME,F8_THEME,F9_THEME,NUM_FAC_NOTSIG,FNS1,FNS2,FNS3,FNS4,ResearchType,SampleSize,METHOD1,METHOD2,METHOD3,METHOD4,Tech,THEORY1,THEORY2,THEORY3,THEORY4,LIMIT1,LIMIT2,LIMIT3,Abstract
comparative,LonkaniAcomparativeStudyOfTrust2020,p2_01,"psychological, cultural, demographic",cultural,"cultural, psychological",1,a comparative study of trust in mobile banking: an analysis of us and thai customers,2020,journal of global information management,"ravi lonkani, chuleeporn changchit, tim klaus, jomjai sampet",igi global,thailand,technology acceptance model,initial trust,consumer acceptance,gender-differences,normative beliefs,national culture,usage intentions,privacy concerns,internet users,online trust,5,cltr,norm_blf,prv_exp,competnc,trst,,,,,social,social,personal,external,psychological,,,,,2,age,sex,,,comparative,560,regression,,,,mobile banking,hcd,,,,sample,,,"with the rapid growth of mobile phone usage, mobile services have influenced many industries including banking. mobile banking has become a popular service as it offers a convenient channel for customers to perform banking transactions. nevertheless, not all customers feel safe performing financial transactions online. trust has become a crucial element on whether customers choose to use mobile banking. as a comparative study, this research examines factors and bank customers characteristics that influence trust in mobile banking between u.s. and thai mobile banking customers. three hundred and eight usa consumers and two hundred and fifty-two thai consumers participated in this study. the results found multiple significant factors influencing trust and usage of mobile banking. this study expands on previous trust and mobile banking usage research and provides practical implications for cross-cultural strategies in mobile banking."
behavioral intention,SaprikisAComparativeStudyofUsersVsNonUsers2022,p2_02,"psychological, market, personal",psychological,"social, psychological",1,a comparative study of users versus non-users behavioral intention towards m-banking apps adoption,2022,information-an international interdisciplinary journal,"vaggelis saprikis, giorgos avlogiaris, androniki katarachia",mdpi,greece,word-of-mouth,mobile-banking,acceptance model,information-technology,consumer adoption,moderating role,utaut model,services,internet,determinants,8,peex,socinf,fac_cond,risk,anxiety,rwrd,sec,recom,,personal,social,external,external,psychological,external,external,external,,2,efex,fac_cond,,,empirical,837,cfa,sem,,,mobile banking,utaut,,,,sample,cross_cult,incomp_fac,"the banking sector has been considered as one of the primary adopters of information and communications technologies. especially during the last years, they have invested a lot into the digital transformation of their business process. concerning their retail customers, banks realized very early the great potential abilities to provide value added self-services functions via mobile devices, mainly smartphones to them; thus, they have invested a lot into m-banking apps functionality. furthermore, the covid-19 pandemic has brought out different ways for financial transactions and even more mobile users have taken advantage of m-banking app services. thus, the purpose of this empirical paper is to investigate the determinants that impact individuals on adopting or not m-banking apps. specifically, it examines two groups of individuals, users (adopters) and non-users (non-adopters) of m-banking apps, and aims to reveal if there are differences and similarities between the factors that impact them on adopting or not this type of m-banking services. to our knowledge, this is the second scientific attempt where these two groups of individuals have been compared on this topic. the paper proposes a comprehensive conceptual model by extending venkatechs et al. (2003) unified theory of acceptance and use of technology (utaut) with ict facilitators (i.e., reward and security) and ict inhibitors (i.e., risk and anxiety), as well as the recommendation factor. however, this study intends to fill the research gap by investigating and proving for the first time the impact of social influence, reward and anxiety factors on behavioral intention, the relationship between risk and anxiety and the impact of behavioral intention on recommendation via the application of confirmatory factor analysis and structural equation modeling (sem) statistical techniques. the results reveal a number of differences regarding the factors that impact or not these two groups towards m-banking app adoption; thus, it provides new insights regarding m-banking app adoption in a slightly examined scientific field. thus, the study intends to assist the banking sector in better understanding their customers with the aim to formulate and apply customized m-business strategies and increase not only the adoption of m-banking apps but also the level of their further use."
keywords,,p2_03,"psychological, personal, perceptive",psychological,"psychological, personal",1,a cross-country study on intention to use mobile banking: does computer self-efficacy matter?,2021,journal of global information management,"rodrigo f. malaquias, fernanda francielle de oliveira malaquias, young mok ha, yujong hwang",igi global,"brazil, south korea, usa",empirical-examination,consumer adoption,initial trust,information,anxiety,acceptance,commerce,traits,usage,satisfaction,5,self,trst,peou,pu,intnt_use,,,,,psychological,psychological,perceptive,perceptive,psychological,,,,,0,,,,,empirical,458,cfa,sem,,,mobile banking,tam,,,,sample,bias,question,"this is a cross-country study about intention to use mobile banking considering respondents from brazil, south korea, and the united states of america. the purpose of the paper is to analyze the role of an individuals computer self-efficacy ion mobile banking context. the authors employed the confirmatory factor analysis and the structural equation modeling to analyze the constructs and test the hypotheses of the study. they also relied on bootstrap confidence intervals to test the statistical significance of indirect effects. this study considers a comprehensive measure for computer self-efficacy (cse), and a direct effect of this variable on two antecedents of behavioral intention to use mobile banking was found. cse also had an indirect effect on the intention to use mobile banking. however, the effect of computer self-efficacy was not persistent among the different sub-samples considered in this study."
title,,p2_04,"psychological, personal, perceptive",cultural,"perceptive, cultural, market",0,"a cross-cultural study of the intention to use mobile banking between lebanese and british consumers: extending utaut2 with security, privacy and trust",2019,technology in society,"mohamed merhi, kate hone, ali tarhini",elsevier,"england, oman",internet banking,unified theory,information-technology,e-services,perceived usefulness,hedonic motivation,empirical-evidence,acceptance model,mediating role,adoption,6,habt,psec,ppriv,trst,peex,price,,,,personal,perceptive,perceptive,psychological,personal,external,,,,4,peex,pval,socinf,hed_motiv,empirical,901,sem,,,,mobile banking,utaut2,,,,sample,no_mod,incomp_fac,"this study aims to examine the key factors that may hinder or facilitate the adoption of mobile banking services in a cross-cultural context. a conceptual framework was developed through extending the unified theory of acceptance and use of technology utaut2 by incorporating three additional constructs, namely trust (tr), security (ps) and privacy (pp). data were collected using an online survey and a self-administrated questionnaire from 901 mobile banking users who were either lebanese or english. these were analysed using structural equation modelling based on amos 23.0. the results of this analysis indicated that behavioural intention towards adoption of mobile banking services was influenced by habit (hb), perceived security (ps), perceived privacy (pp) and trust (tr) for both the lebanese and english consumers. in addition, performance expectancy (pe) was a significant predictor in lebanon but not in england; whereas price value (pv) was significant in england but not in lebanon. contrary to our expectation, social influence (si) and hedonic motivations (hm) were insignificant for both the lebanese and english consumers. overall, the proposed model achieved acceptable fit and explained 78% of the variance for the lebanese sample and 83% for the english sample - both of which are higher than that of the original utaut2. these findings are expected to help policy makers and bank directors understand the issues facing mobile banking adoption in different cultural settings. subsequently, they will help guide them in formulating appropriate strategies to improve the uptake of mobile banking activities. as the low mobile banking adoption rate in lebanon can be attributed to the novelty of this technology, the lebanese banking sector stands to greatly benefit from this study."
In agreement,frimpongCrossnationalInvestigationTrait2020d,p2_05,"cultural, personal, psychological",cultural,"cultural, psychological",1,a cross-national investigation of trait antecedents of mobile-banking adoption,2020,thunderbird international business review,"kwabena frimpong, obaid shuridah, alan wilson, fred sarpong",wiley,ghana,self-service technologies,internet banking,personal innovativeness,acceptance,online,motivation,readiness,intention,attitudes,consumers,4,attd,intrac,cltr,innov,,,,,,psychological,social,social,personal,,,,,,0,,,,,comparative,1340,multigroup sem,,,,mobile banking,tam,tpb,,,no_long,bias,no_mod,"although there is a near agreement in the literature on the main predictors of consumers attitudes toward technological innovation, the potential ways through which personal traits and national environmental differences contribute to significant variations in mobile-banking adoption have received limited attention. based on insights from innovation adoption and personality research, this study tested a model of mobile-banking adoption using data from a developed and a developing country. survey data came from a sample of 1,340 participants from the united kingdom and ghana. the results indicate that intrinsic traits are stronger in explaining consumers attitude toward mobile banking in ghana than in the united kingdom. however, no significant variance between the two countries was observed with regard to the mediation effect of consumers attitude on the intention to use mobile banking. the practical and theoretical implications of this study are discussed."
In agreement,,p2_06,"perceptive, cultural, psychological",cultural,cultural ,1,a cultural comparative study of mobile banking adoption factors,2020,journal of computer information systems,chuleeporn changchit,taylor & francis as,"usa, thiland",mobile banking,technology acceptance model,culture,thailand,united states,NA,NA,NA,NA,NA,6,pu,peou,socinf,fac_cond,trst,prisk,,,,perceptive,perceptive,social,external,psychological,perceptive,,,,0,,,,,comparative,755,factor analysis,,,,mobile banking,tam,,,,ttest,sample,loc_specific,"with the increasing popularity in smartphone usage, it is crucial for banks to offer mobile banking to allow their customers to perform banking transactions at their convenience. banks need to understand which factors play an important role in encouraging or discouraging customers from using mobile banking. it is also important to investigate further whether bank customers’ perceptions on mobile banking are influenced by culture. this study compares mobile banking perceptions between consumers in the u.s. and in thailand. three hundred and fifty-five (355) respondents from the u.s. and four hundred (400) respondents from thailand participated in this study. seven mobile banking factors predicted to influence consumers’ attitude on the usage of mobile banking are investigated in this comparative study. the study finds six of these factors to be significant and also finds several factors that encourage and discourage u.s. and thai consumers from using mobile banking."
In agreement,,p2_07,"personal, psychological, demographic",demographic,"market, demographic",1,a digital cohort analysis of consumers mobile banking app experience,2024,international journal of consumer studies,neeru sharma,wiley,australia,adoption empirical-evidence,customer,model,acceptance,sector,NA,NA,NA,NA,NA,4,prgt,peou,emo_exp,satis,,,,,,personal,perceptive,psychological,psychological,psychological,,,,,0,,,,,empirical,418,multigroup,,,,mobile banking,dct,,,,sample,no_mod,loc_specific,"the literature on mobile banking has extensively explored various mechanisms underlying service acceptance and continuation. however, there is a lack of research on how the service experience and outcomes differ between digital natives (users born after the digital age) and digital immigrants (users born before the digital age). this study aims to fill this gap by investigating how mobile banking application experience, satisfaction and continued use intention interrelationships differ between digital natives and digital immigrants. the study posits that four components of mobile banking application experience (pragmatic, ease of use, emotional and sensorial) drive continued use intention directly and indirectly through satisfaction. the hypothesized relationships are analysed using a sample of 215 digital natives and 203 digital immigrants and employing the multi-group analysis in the partial least squares structural equation modelling technique. the study finds that while pragmatic, ease of use and emotional experiences significantly predict satisfaction and continued use, the pattern of associations varies across the digital cohorts. sensorial experience was consistently found to be insignificant. satisfaction mediated between the experience dimensions and continued use. the findings suggest that bank managers should recognize the relevant experiences to achieve the satisfaction and continued use of the digital cohorts."
perceptive for keywords,,p2_08,"psychological, personal, perceptive",perceptive,"perceptive, market",1,a framework of mobile banking adoption in india,2020,"journal of open innovation: technology, market, and complexity",ashish kumar,elsevier,india,mobile banking,adoption intention,perceived ease of use,perceived usefulness,tam,NA,NA,NA,NA,NA,5,trst,sbj_nrm,innov,peou,pu,,,,,psychological,social,personal,perceptive,perceptive,,,,,0,,,,,quantitative,203,sem,,,,mobile banking,tam,,,,sample,question,,"mobile banking is now an important and evolving medium for executing banking transactions. it has a huge potential in a developing country such as india. our study explores the important antecedents of the mobile banking adoption intention of indian customers and proposes a comprehensive framework by extending the traditional technology acceptance model (tam). along with the two constructs provided by tam, four customer-oriented constructs have also been measured for this purpose. the conceptual model has been veriﬁed empirically, with the data mobilized with the help of a survey from 203 future mobile banking service users. the structural equation modeling (sem) technique has been undertaken to establish the eﬀect of the antecedents on mobile banking adoption intention. the results demonstrate that, together with the constructs of tam, viz. perceived usefulness and perceived ease of use, as well as all other relevant behavioral factors, namely subjective norms, personal innovativeness, trust, and self-eﬃcacy have exerted a statistically signiﬁcant positive eﬀect on the mobile banking adoption intention of customers. the study provides an empirical foundation, which can be useful to banking and mobile services by helping companies to formulate their marketing strategies."
keywords,,p2_09,"perceptive, social, personal",social,"social, personal, cultural",1,a hybrid model of factors affecting adoption of mobile banking technology between customers of iranian banks,2019,serbian journal of management,bagher asgarnezhad nouri,,iran,mobile banking,technology adoption models,individual factors,social factors,technological factors,organizational factors,perceived usefulness,perceived ease of use,NA,NA,4,prsn,soc_fac,org,tech,,,,,,personal,social,external,market,,,,,,0,,,,,quantitative,384,sem,,,,mobile banking,tam,tpb,,,question,incomp_fac,,"this study aims at providing a hybrid model of mobile banking adoption in the banking industry of iran. based on reviewing the models of technology adoption, the main effective factors were divided into four general categories including personal, social, organizational and technological factors. the population of the study consisted of the customers of public banks. with regard to the infinity of the population, based on morgan table, 384 customers were selected as the sample of the study. a standard questionnaire was used to collect the required data for all the research variables. the research hypotheses were tested using structural equation modeling and based on amos software. the results show that some personal, social, organizational and technological factors have a positive significant effect on perceived usefulness and perceived ease of use of mobile banking. perceived usefulness and perceived ease of use have a positive significant effect on the attitude towards mobile banking. in addition, the positive significant effect of attitude towards the use of mobile banking on the tendency to use mobile banking and vice versa was confirmed."
meta analysis,,p2_10,"psychological, cultural, personal",cultural,"psychological, cultural",1,a meta-analysis of the utaut model in the mobile banking literature: the moderating role of sample size and culture,2021,journal of business research,"yassine jadil, nripendra p. rana, yogesh k. dwivedi",elsevier,wales,factors influencing adoption,behavioral intention,information-technology,unified theory,consumer acceptance,empirical-analysis,perceived risk,initial trust,usage,services,4,peex,efex,fac_cond,intnt_use,,,,,,personal,personal,external,psychological,,,,,,1,socinf,,,,meta-analysis,127,meta analysis,,,,mobile banking,utaut,,,,incomp_fac,sample,,"in the last few years, several studies have examined the predictors of mobile banking (m-banking) adoption using the unified theory of acceptance and use of technology (utaut). however, contradictory results in some of the utaut relationships were found in the existing literature. therefore, we aim to clarify and synthesize the empirical findings from the m-banking studies published since 2004 by conducting weight and meta-analysis with a focus on the utaut theory. we also seek to identify the roles of moderating variables on each utaut path. a total of 364 path coefficients from 127 studies were relevant for data analysis. cma software v3 was employed to combine the effect sizes. all utaut relationships were found to be significant. performance expectancy emerged as the strongest antecedent of usage intention. we also find that usage intention is the most critical predictor of use behavior. it was also revealed that sample size and culture significantly moderated the linkages between facilitating conditions and usage intention, effort expectancy and usage intention, and usage intention and use behavior. theoretical contributions and managerial implications are also discussed toward the end."
